Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600727,鲁北化工,2026-08-06,7.64,1.46%,量能: 放量 (2.11X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.14,7.53,2.11X
603587,地素时尚,2026-08-14,11.68,0.17%,"形态: 两连阴 (-0.17%, -0.43%) | 趋势: 高于MA20",11.61,11.86,0.56X
600409,三友化工,2026-08-06,6.51,-0.61%,"形态: 两连阴 (-3.07%, -1.21%) | 趋势: 高于MA20",6.18,6.38,0.84X
601009,南京银行,2026-08-06,11.28,0.45%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.32%, -1.23%) | 趋势: 高于MA20",11.26,11.02,0.79X
002298,中电鑫龙,2026-08-06,8.56,-2.51%,形态: 10日内有涨停 | 趋势: 高于MA20,7.75,8.47,0.79X
600119,长江投资,2026-08-06,4.53,0.89%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.34,4.88,1.02X
600236,桂冠电力,2026-08-14,10.11,-3.07%,"形态: 两连阴 (-0.94%, -1.32%)",10.89,10.32,0.99X
002962,五方光电,2026-08-06,13.15,1.39%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.39,16.68,1.10X
600026,中远海能,2026-08-06,17.46,-2.29%,趋势: 高于MA20,15.94,18.12,1.00X
002732,燕塘乳业,2026-08-28,14.08,1.51%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.93%, -0.14%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",13.79,13.29,1.01X
002566,益盛药业,2026-08-06,6.47,0.31%,趋势: 高于MA20,6.37,6.70,0.74X
603689,皖天然气,2026-08-06,7.46,0.00%,"形态: 两连阴 (-1.96%, -0.53%) | 趋势: 高于MA20",7.46,7.67,0.92X
600985,淮北矿业,2026-08-06,16.5,10.00%,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.59X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),14.94,14.92,1.59X
600229,城市传媒,2026-08-06,5.07,-0.20%,"形态: 两连阴 (-0.19%, -0.78%) | 趋势: 高于MA20",4.87,5.23,0.82X
000702,正虹科技,2026-08-06,5.35,0.94%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.01,5.51,0.81X
603879,永悦科技,2026-08-14,5.45,0.74%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4.81,4.75,0.90X
603969,银龙股份,2026-08-28,7.71,1.85%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.34,7.44,0.80X
600215,派斯林,2026-08-14,6.72,-0.30%,趋势: 高于MA20,5.97,6.17,1.23X
