代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
605136,2026-07-15,7.52,8.23,9.44,11.17,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603967,2026-07-15,11.43,11.4,-0.26,2.1,0,16,趋势: 高于MA20
601319,2026-07-13,7.07,7.12,0.71,7.36,1,18,趋势: 高于MA20
603327,2026-07-15,7.79,8.99,15.4,18.1,1,17,形态: 10日内有涨停
603165,2026-07-15,13.89,13.8,-0.65,1.22,0,16,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600901,2026-07-13,6.08,6.4,5.26,8.06,1,18,"形态: 两连阴 (-0.16%, -2.45%) | 动量: 突破转强 (阳线上穿5/10)"
600724,2026-07-13,5.21,5.11,-1.92,1.54,0,18,形态: 10日内有涨停
600007,2026-07-13,19.69,18.41,-6.5,2.74,0,18,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600493,2026-07-15,5.91,5.92,0.17,0.34,1,16,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000729,2026-07-15,11.66,12.65,8.49,11.75,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603687,2026-08-06,14.44,14.23,-1.45,2.01,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600235,2026-07-15,5.29,5.63,6.43,8.13,1,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600235,2026-08-06,5.48,5.63,2.74,4.38,1,6,"形态: 两连阴 (-0.36%, -1.45%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
603225,2026-08-06,19.69,18.79,-4.57,1.22,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600960,2026-08-06,4.0,3.99,-0.25,1.0,0,6,"形态: 两连阴 (-0.50%, -0.25%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002598,2026-07-15,6.73,6.66,-1.04,0.0,0,16,"形态: 两连阴 (-1.03%, -1.34%) | 趋势: 高于MA20"
000561,2026-07-15,6.91,7.64,10.56,13.17,1,22,"形态: 两连阴 (-8.44%, -1.01%)"
000561,2026-08-06,7.62,7.64,0.26,2.62,1,6,趋势: 高于MA20
603997,2026-07-13,11.85,12.83,8.27,11.56,1,18,量能: 放量 (1.67X) | 动量: 突破转强 (阳线上穿5/10)
002593,2026-07-15,4.31,4.46,3.48,4.41,1,22,量能: 放量 (2.06X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002593,2026-08-06,4.37,4.46,2.06,2.97,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002565,2026-07-15,9.84,9.52,-3.25,1.12,0,22,"形态: 两连阴 (-9.96%, -0.80%)"
002565,2026-08-06,9.88,9.52,-3.64,0.71,0,6,量能: 放量 (2.28X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603668,2026-07-15,11.25,10.49,-6.76,-1.33,0,22,"形态: 两连阴 (-3.85%, -3.92%)"
600271,2026-07-15,6.56,6.89,5.03,8.23,1,22,"形态: 两连阴 (-5.10%, -0.46%)"
600271,2026-08-06,7.04,6.89,-2.13,0.14,0,6,"形态: 两连阴 (-0.28%, -0.85%) | 趋势: 高于MA20"
605122,2026-07-15,10.74,10.95,1.96,1.96,1,16,动量: 突破转强 (阳线上穿5/10)
600428,2026-07-15,10.57,11.95,13.06,13.53,1,17,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
600463,2026-07-15,7.84,8.2,4.59,5.99,1,22,量能: 放量 (1.62X) | 动量: 突破转强 (阳线上穿5/10)
600463,2026-08-06,7.95,8.2,3.14,4.53,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601108,2026-07-15,9.01,8.43,-6.44,-1.89,0,16,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002734,2026-07-13,15.03,16.15,7.45,7.45,1,18,"形态: 两连阴 (-1.98%, -1.07%)"
600198,2026-07-15,7.32,7.28,-0.55,-0.55,0,16,"形态: 两连阴 (-3.81%, -8.91%)"
600356,2026-07-15,8.1,8.81,8.77,11.85,1,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
